14913,0.44,0.81,0.42,-0.13,-0.13,-0.27,-0.51,0.14,0.37,0.28,-0.06,0.02,0.028348,0.13,-0.13,0.16,0.28,0.05,-0.16,0.28,-0.43,0.15,0.06,0.05,0.17,0.07,-0.53,-0.31,0.2,0.22,0.25,0.42,-0.36,0,0.025882,0.22,-0.36,-0.32,-0.72,-0.58
15840,-0.061764,-0.64,0.03,-0.31,0.33,-0.28,-0.45,0.17,0.38,0.33,-0.63,0,0.16,0.11,0.43,-0.91,-0.01,0.16,-0.39,-0.052578,-0.26,-0.35,0.46,0.31,-0.02,0.26,0.09,-0.4,0.13,0.04,0.04,-0.3,-0.53,0.12,-0.13,-0.02,0.48,-0.63,-0.17,-0.84
14936,-0.04,-0.75,-0.76,-0.12,-0.13,-0.39,-0.16,-0.06,0.3,0.24,-0.08,-0.24,0.52,0.69,0.87,0.15,0.06,-0.76,-0.55,0.71,0.47,0.09,0.14,-0.17,0.04,0.53,-0.12,-0.46,0.2,0.19,0.3,-0.09,-0.36,0.7,0.06,0.16,0.22,-0.46,-1.12,-0.11
14846,0.016265,-0.65,0.31,0.0036125,-0.22,-0.29,-0.51,0.05,-0.08,-0.37,-0.06,0.03,0.0042668,-0.2,1.07,-0.19,0.47,0.45,-0.19,0.014159,0.29,0.28,-0.35,0.57,0.63,0.22,-0.08,-0.45,0.09,0.11,-0.05,0,0.48,0.91,-0.49,-0.8,-0.23,-0.28,-0.1,-0.53
14957,-0.05,-0.2,0.14,0.05,-0.1,-0.64,-0.58,-0.037297,-0.45,-0.37,-0.28,0,-0.049125,0.33,1.12,-0.34,-0.66,0.74,-0.26,-0.046221,0.33,-0.01,0.32,0.3,-0.036356,-0.26,-0.39,-0.09,-0.56,-0.02,-0.15,0.04,-0.06,-0.33,0.32,-0.03,0.56,-0.96,-0.18,-0.02
13663,-0.68,-0.39,-0.1,-0.26,-0.09,-0.75,-0.71,0.09,-0.22,-0.3,-0.37,0.32,-0.09049,0.15,0.67,-0.61,0.16,0.52,0.02,-0.48,-0.34,0.35,-0.28,0.06,0.4,0.09,0.14,0.26,0,-0.1,-0.53,-0.41,-0.3,-0.84,0.36,0.29,-0.03,-1.17,0.37,0.2
13676,-0.77,-0.36,-0.35,-0.55,0.29,-0.93,-0.65,-0.14,0.34,-0.05,-0.18,0.12,-0.076164,-0.25,0.43,-0.85,0.04,0.4,-0.22,-0.67,-0.17,0.45,-0.04,0.11,0.24,0.49,-0.03,0.05,0.06,0.11,-0.65,-0.56,0.16,0.41,0.46,0.42,0.03,-1.13,0.06,-0.06
13662,-0.45,-0.24,-0.36,-0.46,-0.2,-0.43,-0.82,-0.19,-0.53,-0.64,-0.1,0.17,-0.21,0.46,0.57,-0.42,0.24,0.09,-0.26,-0.29,-0.08,0.34,0.17,0.08,0.28,0.49,0.05,-0.16,-0.15,-0.08,-0.17,-0.61,-0.18,0.09,0.26,0.6,0.06,-0.89,0.45,0.14
17437,0.11,-0.25,0.1,0.15,0.39,-0.38,-0.3,0.17,-0.26,-0.34,-1.02,0.07,-0.45,0.88,0.28,-0.52,0.35,0,-0.07,-0.69,-0.11,0.23,0.46,0.41,-0.03,-0.66,-0.16,0.25,-0.61,-1.09,-1.11,-1.15,-0.4,0.75,0.37,0.38,0.22,-0.49,0.1,0.22
17113,-0.3,-0.62,0.6,0.17,-0.37,0,-0.22,-0.34,-0.87,-0.65,-0.35,0.27,1.25,-0.41,1.29,0.1,0.16,0.78,-0.05,0.47,-0.31,0.59,-0.29,-0.44,0.72,-1.07,-0.27,-0.34,-0.65,-0.38,-0.85,0.38,-0.5,-1.62,0.07,0.16,0.78,-0.23,0.03,0.37
14889,0.016799,-0.08,0.28,-0.25,0.5,-0.3,0.43,0.43,-0.49,-0.47,-0.71,0.69,0.022261,-0.13,0.17,-0.06,0.027409,0.42,-0.26,-0.09,0.27,0.13,0.022628,-0.33,0.11,-0.09,-0.09,-0.05,0.36,0.2,-0.28,-0.04,0.51,-0.49,0.01,0.12,-0.61,-0.16,-0.15,0.29
15591,-0.029446,0.16,0.03,-0.53,-0.04,0.19,0.19,-0.34,-0.08,-0.11,0.25,-0.29,-0.021027,0.27,0.14,-0.06,-0.49,-0.11,-0.21,-0.028803,-0.2,-0.13,-0.3,0.31,-0.27,-0.67,0.25,-0.03,-0.12,0.07,-0.19,0.35,-0.026949,-0.37,-0.19,1.84,0.07,-0.31,-0.45,-0.29
17436,-0.02,0.34,-0.07,0.07,-0.12,-0.03,0.39,-0.21,0.61,-0.66,0.63,-0.14,0.73,0.91,-0.29,0.67,-1.63,-0.29,0.3,-0.38,0.22,-0.17,0.1,-0.34,-0.04,0.11,-0.45,-0.24,0.97,0.63,0.52,-0.19,0.18,0.29,0.28,4.38,-0.06,0.16,-0.25,-0.55
17513,0.058193,0.16,-0.08,0.26,-0.21,0.11,0.11,-0.7,0.86,0.38,0.5,1.42,0.088507,0.17,-0.31,-0.25,-0.92,-1.48,-0.36,1.54,-0.05,0.13,0,0.078593,0.21,0.12,-0.27,-0.47,-0.52,-0.55,-0.15,-0.33,0.79,-1,-0.65,4.55,-0.61,-1.14,0.56,0.37
13575,0.072516,0.04,-0.42,0.38,-0.21,0.35,0.16,-0.65,0.67,0.29,0.7,0.087231,0.099694,0.34,-0.42,-0.38,-0.51,-0.83,-0.29,0.096055,0.29,0.1,-0.12,0.5,-0.04,0.46,0.18,-0.36,-0.47,-0.63,-0.29,-0.35,0.42,0.093154,-0.19,4.26,-0.35,-0.69,0.35,0.28
20679,-0.09,0.72,0.8,0.7,-0.07,-0.05,0.05,-0.81,0.16,-0.88,0.4,0.5,0.64,0.94,0.56,-0.38,-0.74,-0.29,0.03,-0.52,0.36,0.4,-0.05,-0.74,-0.42,-0.77,0.74,0.55,-0.03,0.35,0.21,0.71,1.66,0.73,0.12,0.35,-0.33,-0.09,0.27,-0.36
